Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
RLN1,2004-11,,H1,H1
H1,2004-11,,RLN1,RLN1
RLN2,2004-11,,H2|RLXH2|bA12D24.1.1|bA12D24.1.2,H2|RLXH2|bA12D24.1.1|bA12D24.1.2
H2,2004-11,,RLN2|RLXH2|bA12D24.1.1|bA12D24.1.2,RLN2|RLXH2|bA12D24.1.1|bA12D24.1.2
RLXH2,2004-11,,RLN2|H2|bA12D24.1.1|bA12D24.1.2,RLN2|H2|bA12D24.1.1|bA12D24.1.2
bA12D24.1.1,2004-11,,RLN2|H2|RLXH2|bA12D24.1.2,RLN2|H2|RLXH2|bA12D24.1.2
bA12D24.1.2,2004-11,,RLN2|H2|RLXH2|bA12D24.1.1,RLN2|H2|RLXH2|bA12D24.1.1
RLNL,,,,
RMCH,,,,
BCL7,,,,
RMD1,,,,
RMRP,2002-05,CHH,RMRPR|RRP2|NME1,CHH|RMRPR|RRP2|NME1
RMRPR,2002-05,CHH,RMRP|RRP2|NME1,CHH|RMRP|RRP2|NME1
RRP2,2002-05,CHH,RMRP|RMRPR|NME1,CHH|RMRP|RMRPR|NME1
NME1,2002-05,CHH,RMRP|RMRPR|RRP2,CHH|RMRP|RMRPR|RRP2
RMSA1,,,,
RN5S,,,,
RN5S1,2012-05,RN5S,,RN5S
RN5S2,,,,
RN5S3,,,,
RN7SK,2008-03,,7SK,7SK
7SK,2008-03,,RN7SK,RN7SK
RN7SL1,2003-09,RN7SL,7SL|7L1a|RNSRP1,RN7SL|7SL|7L1a|RNSRP1
7SL,2003-09,RN7SL,RN7SL1|7L1a|RNSRP1,RN7SL|RN7SL1|7L1a|RNSRP1
7L1a,2003-09,RN7SL,RN7SL1|7SL|RNSRP1,RN7SL|RN7SL1|7SL|RNSRP1
RNSRP1,2003-09,RN7SL,RN7SL1|7SL|7L1a,RN7SL|RN7SL1|7SL|7L1a
RN7SL4P,2010-02,RN7SLP1|RN7SL427P,7L28,RN7SLP1|RN7SL427P|7L28
7L28,2010-02,RN7SLP1|RN7SL427P,RN7SL4P,RN7SLP1|RN7SL427P|RN7SL4P
BCL7A,2016-07,BCL7,,BCL7
RN7SL5P,2010-02,RN7SLP2|RN7SL249P,7LEM1,RN7SLP2|RN7SL249P|7LEM1
7LEM1,2010-02,RN7SLP2|RN7SL249P,RN7SL5P,RN7SLP2|RN7SL249P|RN7SL5P
RN7SL6P,2010-02,RN7SLP3|RN7SL848P,7L7,RN7SLP3|RN7SL848P|7L7
