Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
SRA1,2002-07,,SRA|STRAA1,SRA|STRAA1
SRA,2002-07,,SRA1|STRAA1,SRA1|STRAA1
STRAA1,2002-07,,SRA1|SRA,SRA1|SRA
SRBC,,,,
SRC,2014-06,SRC1,ASV|c-src,SRC1|ASV|c-src
ASV,2014-06,SRC1,SRC|c-src,SRC1|SRC|c-src
c-src,2014-06,SRC1,SRC|ASV,SRC1|SRC|ASV
SRD5A1,2016-01,,,
SRD5A2,2016-01,,,
SRD5A1P1,2016-01,SRD5AP1,,SRD5AP1
SRD5B1,,,,
AKR1D1P1,2016-06,SRD5BP1|AKR1D1P,,SRD5BP1|AKR1D1P
SREBF1,,,SREBP1|bHLHd1|SREBP-1c|SREBP1a,SREBP1|bHLHd1|SREBP-1c|SREBP1a
SREBP1,,,SREBF1|bHLHd1|SREBP-1c|SREBP1a,SREBF1|bHLHd1|SREBP-1c|SREBP1a
bHLHd1,,,SREBF1|SREBP1|SREBP-1c|SREBP1a,SREBF1|SREBP1|SREBP-1c|SREBP1a
SREBP-1c,,,SREBF1|SREBP1|bHLHd1|SREBP1a,SREBF1|SREBP1|bHLHd1|SREBP1a
SREBP1a,,,SREBF1|SREBP1|bHLHd1|SREBP-1c,SREBF1|SREBP1|bHLHd1|SREBP-1c
BTF3P1,,,HUMBTFA,HUMBTFA
HUMBTFA,,,BTF3P1,BTF3P1
SREBF2,,,SREBP2|bHLHd2,SREBP2|bHLHd2
SREBP2,,,SREBF2|bHLHd2,SREBF2|bHLHd2
bHLHd2,,,SREBF2|SREBP2,SREBF2|SREBP2
SRF,2015-08,,MCM1,MCM1
MCM1,2015-08,,SRF,SRF
SRI,,,,
SRIP1,2010-07,SRIL,,SRIL
SRK,,,,
SRL,,,,
SRM,,SRML1,SPS1,SRML1|SPS1
SPS1,,SRML1,SRM,SRML1|SRM
SRML2,,,,
SRMS,2003-08,C20orf148,SRM|dJ697K14.1|PTK70,C20orf148|SRM|dJ697K14.1|PTK70
SRM,2003-08,C20orf148,SRMS|dJ697K14.1|PTK70,C20orf148|SRMS|dJ697K14.1|PTK70
dJ697K14.1,2003-08,C20orf148,SRMS|SRM|PTK70,C20orf148|SRMS|SRM|PTK70
PTK70,2003-08,C20orf148,SRMS|SRM|dJ697K14.1,C20orf148|SRMS|SRM|dJ697K14.1
SRP14,2016-06,,ALURBP|MGC14326,ALURBP|MGC14326
ALURBP,2016-06,,SRP14|MGC14326,SRP14|MGC14326
MGC14326,2016-06,,SRP14|ALURBP,SRP14|ALURBP
ACHRG,,,,
BTG1,2016-07,,APRO2,APRO2
APRO2,2016-07,,BTG1,BTG1
SRP19,2016-06,,,
SRP54,2016-06,,,
SRP68,2016-04,,,
SRP72,2016-06,,,
SRP9,2016-06,,,
SRPK1,2010-06,,SFRSK1,SFRSK1
SFRSK1,2010-06,,SRPK1,SRPK1
SRPK2,2010-06,,SFRSK2,SFRSK2
SFRSK2,2010-06,,SRPK2,SRPK2
SRPRA,2015-11,SRPR,SRP-alpha|Sralpha|SR-alpha,SRPR|SRP-alpha|Sralpha|SR-alpha
SRP-alpha,2015-11,SRPR,SRPRA|Sralpha|SR-alpha,SRPR|SRPRA|Sralpha|SR-alpha
Sralpha,2015-11,SRPR,SRPRA|SRP-alpha|SR-alpha,SRPR|SRPRA|SRP-alpha|SR-alpha
SR-alpha,2015-11,SRPR,SRPRA|SRP-alpha|Sralpha,SRPR|SRPRA|SRP-alpha|Sralpha
SRPSMCR,,,,
SRPX,2016-03,,ETX1,ETX1
ETX1,2016-03,,SRPX,SRPX
BTG2,2016-07,,PC3|TIS21|MGC126063|MGC126064|APRO1,PC3|TIS21|MGC126063|MGC126064|APRO1
PC3,2016-07,,BTG2|TIS21|MGC126063|MGC126064|APRO1,BTG2|TIS21|MGC126063|MGC126064|APRO1
TIS21,2016-07,,BTG2|PC3|MGC126063|MGC126064|APRO1,BTG2|PC3|MGC126063|MGC126064|APRO1
MGC126063,2016-07,,BTG2|PC3|TIS21|MGC126064|APRO1,BTG2|PC3|TIS21|MGC126064|APRO1
MGC126064,2016-07,,BTG2|PC3|TIS21|MGC126063|APRO1,BTG2|PC3|TIS21|MGC126063|APRO1
APRO1,2016-07,,BTG2|PC3|TIS21|MGC126063|MGC126064,BTG2|PC3|TIS21|MGC126063|MGC126064
SRS,,,,
SRY,,,TDF,TDF
TDF,,,SRY,SRY
TRIM21,2011-01,SSA1,RNF81|RO52|Ro/SSA,SSA1|RNF81|RO52|Ro/SSA
RNF81,2011-01,SSA1,TRIM21|RO52|Ro/SSA,SSA1|TRIM21|RO52|Ro/SSA
RO52,2011-01,SSA1,TRIM21|RNF81|Ro/SSA,SSA1|TRIM21|RNF81|Ro/SSA
Ro/SSA,2011-01,SSA1,TRIM21|RNF81|RO52,SSA1|TRIM21|RNF81|RO52
TROVE2,2015-11,SSA2,Ro60,SSA2|Ro60
Ro60,2015-11,SSA2,TROVE2,SSA2|TROVE2
SSAV1,,,,
SSAV1L,,,,
SSB,2015-11,,LARP3|La|La/SSB,LARP3|La|La/SSB
LARP3,2015-11,,SSB|La|La/SSB,SSB|La|La/SSB
La,2015-11,,SSB|LARP3|La/SSB,SSB|LARP3|La/SSB
La/SSB,2015-11,,SSB|LARP3|La,SSB|LARP3|La
SSBP1,2016-03,,SSBP|mtSSB,SSBP|mtSSB
SSBP,2016-03,,SSBP1|mtSSB,SSBP1|mtSSB
mtSSB,2016-03,,SSBP1|SSBP,SSBP1|SSBP
SSFA1,,,,
SSFA2,,,CS-1|SPAG13|KRAP|KIAA1927,CS-1|SPAG13|KRAP|KIAA1927
CS-1,,,SSFA2|SPAG13|KRAP|KIAA1927,SSFA2|SPAG13|KRAP|KIAA1927
SPAG13,,,SSFA2|CS-1|KRAP|KIAA1927,SSFA2|CS-1|KRAP|KIAA1927
KRAP,,,SSFA2|CS-1|SPAG13|KIAA1927,SSFA2|CS-1|SPAG13|KIAA1927
KIAA1927,,,SSFA2|CS-1|SPAG13|KRAP,SSFA2|CS-1|SPAG13|KRAP
BTG3,2016-07,,ANA|tob55|APRO4|ANA/BTG3,ANA|tob55|APRO4|ANA/BTG3
ANA,2016-07,,BTG3|tob55|APRO4|ANA/BTG3,BTG3|tob55|APRO4|ANA/BTG3
tob55,2016-07,,BTG3|ANA|APRO4|ANA/BTG3,BTG3|ANA|APRO4|ANA/BTG3
APRO4,2016-07,,BTG3|ANA|tob55|ANA/BTG3,BTG3|ANA|tob55|ANA/BTG3
ANA/BTG3,2016-07,,BTG3|ANA|tob55|APRO4,BTG3|ANA|tob55|APRO4
ABI1,2015-12,SSH3BP1,E3B1|ABI-1,SSH3BP1|E3B1|ABI-1
E3B1,2015-12,SSH3BP1,ABI1|ABI-1,SSH3BP1|ABI1|ABI-1
ABI-1,2015-12,SSH3BP1,ABI1|E3B1,SSH3BP1|ABI1|E3B1
SSNA1,2016-05,,NA14|N14,NA14|N14
NA14,2016-05,,SSNA1|N14,SSNA1|N14
N14,2016-05,,SSNA1|NA14,SSNA1|NA14
SSPN,2012-03,KRAG,SPN1|SPN2,KRAG|SPN1|SPN2
SPN1,2012-03,KRAG,SSPN|SPN2,KRAG|SSPN|SPN2
SPN2,2012-03,KRAG,SSPN|SPN1,KRAG|SSPN|SPN1
SSR1,2016-05,,TRAPA,TRAPA
TRAPA,2016-05,,SSR1,SSR1
SSR2,2016-05,,TLAP|TRAPB,TLAP|TRAPB
TLAP,2016-05,,SSR2|TRAPB,SSR2|TRAPB
TRAPB,2016-05,,SSR2|TLAP,SSR2|TLAP
SSR3,2016-05,,TRAPG,TRAPG
TRAPG,2016-05,,SSR3,SSR3
SSR4,2016-05,,TRAPD,TRAPD
TRAPD,2016-05,,SSR4,SSR4
SSRP1,,,FACT80,FACT80
FACT80,,,SSRP1,SSRP1
SSSCA1,2007-10,,p27,p27
p27,2007-10,,SSSCA1,SSSCA1
SST,,,SMST,SMST
SMST,,,SST,SST
BTK,2015-11,AGMX1|IMD1,ATK|XLA|PSCTK1,AGMX1|IMD1|ATK|XLA|PSCTK1
ATK,2015-11,AGMX1|IMD1,BTK|XLA|PSCTK1,AGMX1|IMD1|BTK|XLA|PSCTK1
XLA,2015-11,AGMX1|IMD1,BTK|ATK|PSCTK1,AGMX1|IMD1|BTK|ATK|PSCTK1
PSCTK1,2015-11,AGMX1|IMD1,BTK|ATK|XLA,AGMX1|IMD1|BTK|ATK|XLA
SSTR1,,,,
SSTR2,,,,
SSTR3,,,,
SSTR4,,,,
SSTR5,,,,
SSX1,2016-05,,CT5.1,CT5.1
CT5.1,2016-05,,SSX1,SSX1
SSX2,2016-05,SSX,HOM-MEL-40|HD21|MGC3884|MGC15364|MGC119055|CT5.2a,SSX|HOM-MEL-40|HD21|MGC3884|MGC15364|MGC119055|CT5.2a
HOM-MEL-40,2016-05,SSX,SSX2|HD21|MGC3884|MGC15364|MGC119055|CT5.2a,SSX|SSX2|HD21|MGC3884|MGC15364|MGC119055|CT5.2a
HD21,2016-05,SSX,SSX2|HOM-MEL-40|MGC3884|MGC15364|MGC119055|CT5.2a,SSX|SSX2|HOM-MEL-40|MGC3884|MGC15364|MGC119055|CT5.2a
MGC3884,2016-05,SSX,SSX2|HOM-MEL-40|HD21|MGC15364|MGC119055|CT5.2a,SSX|SSX2|HOM-MEL-40|HD21|MGC15364|MGC119055|CT5.2a
MGC15364,2016-05,SSX,SSX2|HOM-MEL-40|HD21|MGC3884|MGC119055|CT5.2a,SSX|SSX2|HOM-MEL-40|HD21|MGC3884|MGC119055|CT5.2a
MGC119055,2016-05,SSX,SSX2|HOM-MEL-40|HD21|MGC3884|MGC15364|CT5.2a,SSX|SSX2|HOM-MEL-40|HD21|MGC3884|MGC15364|CT5.2a
CT5.2a,2016-05,SSX,SSX2|HOM-MEL-40|HD21|MGC3884|MGC15364|MGC119055,SSX|SSX2|HOM-MEL-40|HD21|MGC3884|MGC15364|MGC119055
SSX3,2016-05,,CT5.3,CT5.3
CT5.3,2016-05,,SSX3,SSX3
SSX4,2016-05,,CT5.4,CT5.4
CT5.4,2016-05,,SSX4,SSX4
SSX5,2016-05,,,
BTN,,,,
SS18,2016-04,SSXT,SYT,SSXT|SYT
SYT,2016-04,SSXT,SS18,SSXT|SS18
ST11,,,PETS1,PETS1
PETS1,,,ST11,ST11
ST12,,,,
ST13,2017-03,,SNC6|HSPABP1|HIP|P48|FAM10A1,SNC6|HSPABP1|HIP|P48|FAM10A1
SNC6,2017-03,,ST13|HSPABP1|HIP|P48|FAM10A1,ST13|HSPABP1|HIP|P48|FAM10A1
HSPABP1,2017-03,,ST13|SNC6|HIP|P48|FAM10A1,ST13|SNC6|HIP|P48|FAM10A1
HIP,2017-03,,ST13|SNC6|HSPABP1|P48|FAM10A1,ST13|SNC6|HSPABP1|P48|FAM10A1
P48,2017-03,,ST13|SNC6|HSPABP1|HIP|FAM10A1,ST13|SNC6|HSPABP1|HIP|FAM10A1
FAM10A1,2017-03,,ST13|SNC6|HSPABP1|HIP|P48,ST13|SNC6|HSPABP1|HIP|P48
ST14,2015-11,PRSS14,SNC19|HAI|MT-SP1|TMPRSS14,PRSS14|SNC19|HAI|MT-SP1|TMPRSS14
SNC19,2015-11,PRSS14,ST14|HAI|MT-SP1|TMPRSS14,PRSS14|ST14|HAI|MT-SP1|TMPRSS14
HAI,2015-11,PRSS14,ST14|SNC19|MT-SP1|TMPRSS14,PRSS14|ST14|SNC19|MT-SP1|TMPRSS14
MT-SP1,2015-11,PRSS14,ST14|SNC19|HAI|TMPRSS14,PRSS14|ST14|SNC19|HAI|TMPRSS14
TMPRSS14,2015-11,PRSS14,ST14|SNC19|HAI|MT-SP1,PRSS14|ST14|SNC19|HAI|MT-SP1
RECK,2016-01,ST15,hRECK,ST15|hRECK
hRECK,2016-01,ST15,RECK,ST15|RECK
IL24,,ST16,mda-7|IL10B|Mob-5|C49A|FISP|IL-24,ST16|mda-7|IL10B|Mob-5|C49A|FISP|IL-24
mda-7,,ST16,IL24|IL10B|Mob-5|C49A|FISP|IL-24,ST16|IL24|IL10B|Mob-5|C49A|FISP|IL-24
IL10B,,ST16,IL24|mda-7|Mob-5|C49A|FISP|IL-24,ST16|IL24|mda-7|Mob-5|C49A|FISP|IL-24
Mob-5,,ST16,IL24|mda-7|IL10B|C49A|FISP|IL-24,ST16|IL24|mda-7|IL10B|C49A|FISP|IL-24
C49A,,ST16,IL24|mda-7|IL10B|Mob-5|FISP|IL-24,ST16|IL24|mda-7|IL10B|Mob-5|FISP|IL-24
FISP,,ST16,IL24|mda-7|IL10B|Mob-5|C49A|IL-24,ST16|IL24|mda-7|IL10B|Mob-5|C49A|IL-24
IL-24,,ST16,IL24|mda-7|IL10B|Mob-5|C49A|FISP,ST16|IL24|mda-7|IL10B|Mob-5|C49A|FISP
ST2,,,,
ST3,,,,
ST4,,,,
BTN1A1,2015-12,BTN,BT|BTN1,BTN|BT|BTN1
BT,2015-12,BTN,BTN1A1|BTN1,BTN|BTN1A1|BTN1
BTN1,2015-12,BTN,BTN1A1|BT,BTN|BTN1A1|BT
ST5,,,HTS1|DENND2B|p126,HTS1|DENND2B|p126
HTS1,,,ST5|DENND2B|p126,ST5|DENND2B|p126
DENND2B,,,ST5|HTS1|p126,ST5|HTS1|p126
p126,,,ST5|HTS1|DENND2B,ST5|HTS1|DENND2B
ST7,,FAM4A1,TSG7|SEN4|ETS7q|HELG|RAY1|FAM4A,FAM4A1|TSG7|SEN4|ETS7q|HELG|RAY1|FAM4A
TSG7,,FAM4A1,ST7|SEN4|ETS7q|HELG|RAY1|FAM4A,FAM4A1|ST7|SEN4|ETS7q|HELG|RAY1|FAM4A
SEN4,,FAM4A1,ST7|TSG7|ETS7q|HELG|RAY1|FAM4A,FAM4A1|ST7|TSG7|ETS7q|HELG|RAY1|FAM4A
ETS7q,,FAM4A1,ST7|TSG7|SEN4|HELG|RAY1|FAM4A,FAM4A1|ST7|TSG7|SEN4|HELG|RAY1|FAM4A
HELG,,FAM4A1,ST7|TSG7|SEN4|ETS7q|RAY1|FAM4A,FAM4A1|ST7|TSG7|SEN4|ETS7q|RAY1|FAM4A
RAY1,,FAM4A1,ST7|TSG7|SEN4|ETS7q|HELG|FAM4A,FAM4A1|ST7|TSG7|SEN4|ETS7q|HELG|FAM4A
FAM4A,,FAM4A1,ST7|TSG7|SEN4|ETS7q|HELG|RAY1,FAM4A1|ST7|TSG7|SEN4|ETS7q|HELG|RAY1
ST8,,,OVCS,OVCS
OVCS,,,ST8,ST8
STAC,,,STAC1,STAC1
STAC1,,,STAC,STAC
STAG1,,,SA-1|SCC3A|SA1,SA-1|SCC3A|SA1
SA-1,,,STAG1|SCC3A|SA1,STAG1|SCC3A|SA1
SCC3A,,,STAG1|SA-1|SA1,STAG1|SA-1|SA1
SA1,,,STAG1|SA-1|SCC3A,STAG1|SA-1|SCC3A
STAG2,,,SA-2|SCC3B|SA2,SA-2|SCC3B|SA2
SA-2,,,STAG2|SCC3B|SA2,STAG2|SCC3B|SA2
SCC3B,,,STAG2|SA-2|SA2,STAG2|SA-2|SA2
SA2,,,STAG2|SA-2|SCC3B,STAG2|SA-2|SCC3B
STAG3,,,,
STAM,2015-11,,STAM1,STAM1
STAM1,2015-11,,STAM,STAM
STAM2,2015-11,,Hbp,Hbp
Hbp,2015-11,,STAM2,STAM2
STAR,2007-05,,StAR|STARD1,StAR|STARD1
StAR,2007-05,,STAR|STARD1,STAR|STARD1
STARD1,2007-05,,STAR|StAR,STAR|StAR
BTN2A1,2015-12,,BT2.1|BTF1|BTN2.1,BT2.1|BTF1|BTN2.1
BT2.1,2015-12,,BTN2A1|BTF1|BTN2.1,BTN2A1|BTF1|BTN2.1
BTF1,2015-12,,BTN2A1|BT2.1|BTN2.1,BTN2A1|BT2.1|BTN2.1
BTN2.1,2015-12,,BTN2A1|BT2.1|BTF1,BTN2A1|BT2.1|BTF1
STARP1,2007-08,,STARD1P1,STARD1P1
STARD1P1,2007-08,,STARP1,STARP1
STAT,,,,
STAT1,2015-11,,STAT91|ISGF-3,STAT91|ISGF-3
STAT91,2015-11,,STAT1|ISGF-3,STAT1|ISGF-3
ISGF-3,2015-11,,STAT1|STAT91,STAT1|STAT91
STAT2,2015-11,,STAT113,STAT113
STAT113,2015-11,,STAT2,STAT2
STAT3,2016-04,,APRF,APRF
APRF,2016-04,,STAT3,STAT3
STAT4,,,,
STAT5A,,STAT5,MGF,STAT5|MGF
MGF,,STAT5,STAT5A,STAT5|STAT5A
STAT5B,,,,
STAT6,2016-03,,D12S1644|IL-4-STAT,D12S1644|IL-4-STAT
D12S1644,2016-03,,STAT6|IL-4-STAT,STAT6|IL-4-STAT
IL-4-STAT,2016-03,,STAT6|D12S1644,STAT6|D12S1644
STATH,,,STR,STR
STR,,,STATH,STATH
BTN2A2,2015-12,,BTF2|BT2.2|BTN2.2,BTF2|BT2.2|BTN2.2
BTF2,2015-12,,BTN2A2|BT2.2|BTN2.2,BTN2A2|BT2.2|BTN2.2
BT2.2,2015-12,,BTN2A2|BTF2|BTN2.2,BTN2A2|BTF2|BTN2.2
BTN2.2,2015-12,,BTN2A2|BTF2|BT2.2,BTN2A2|BTF2|BT2.2
STAU1,2013-06,STAU,PPP1R150,STAU|PPP1R150
PPP1R150,2013-06,STAU,STAU1,STAU|STAU1
STAU2,2013-06,,39K2,39K2
39K2,2013-06,,STAU2,STAU2
STC,,,,
STC1,,STC,,STC
STC2,,,STC-2,STC-2
STC-2,,,STC2,STC2
HSPA13,2015-11,STCH,,STCH
STD,,,,
SULT1E1,2015-11,STE,EST,STE|EST
EST,2015-11,STE,SULT1E1,STE|SULT1E1
STEAP1,2016-07,STEAP,PRSS24,STEAP|PRSS24
PRSS24,2016-07,STEAP,STEAP1,STEAP|STEAP1
STFA,,,,
BTN3A1,2015-12,,BT3.1|BTF5|CD277|BTN3.1,BT3.1|BTF5|CD277|BTN3.1
BT3.1,2015-12,,BTN3A1|BTF5|CD277|BTN3.1,BTN3A1|BTF5|CD277|BTN3.1
BTF5,2015-12,,BTN3A1|BT3.1|CD277|BTN3.1,BTN3A1|BT3.1|CD277|BTN3.1
CD277,2015-12,,BTN3A1|BT3.1|BTF5|BTN3.1,BTN3A1|BT3.1|BTF5|BTN3.1
BTN3.1,2015-12,,BTN3A1|BT3.1|BTF5|CD277,BTN3A1|BT3.1|BTF5|CD277
STFB,,,,
STGD1,,,,
STGD2,,,,
STGD3,,,,
STGD4,,,,
STHE,,,,
STIM1,,,GOK|D11S4896E,GOK|D11S4896E
GOK,,,STIM1|D11S4896E,STIM1|D11S4896E
D11S4896E,,,STIM1|GOK,STIM1|GOK
STIP1,2015-11,,HOP|STI1,HOP|STI1
HOP,2015-11,,STIP1|STI1,STIP1|STI1
STI1,2015-11,,STIP1|HOP,STIP1|HOP
STK10,,,LOK|PRO2729,LOK|PRO2729
LOK,,,STK10|PRO2729,STK10|PRO2729
PRO2729,,,STK10|LOK,STK10|LOK
STK11,2005-12,,PJS|LKB1,PJS|LKB1
PJS,2005-12,,STK11|LKB1,STK11|LKB1
LKB1,2005-12,,STK11|PJS,STK11|PJS
BTN3A2,2015-12,,BTN3.2,BTN3.2
BTN3.2,2015-12,,BTN3A2,BTN3A2
AURKB,2003-07,STK12,Aik2|IPL1|AurB|AIM-1|ARK2|STK5|PPP1R48,STK12|Aik2|IPL1|AurB|AIM-1|ARK2|STK5|PPP1R48
Aik2,2003-07,STK12,AURKB|IPL1|AurB|AIM-1|ARK2|STK5|PPP1R48,STK12|AURKB|IPL1|AurB|AIM-1|ARK2|STK5|PPP1R48
IPL1,2003-07,STK12,AURKB|Aik2|AurB|AIM-1|ARK2|STK5|PPP1R48,STK12|AURKB|Aik2|AurB|AIM-1|ARK2|STK5|PPP1R48
AurB,2003-07,STK12,AURKB|Aik2|IPL1|AIM-1|ARK2|STK5|PPP1R48,STK12|AURKB|Aik2|IPL1|AIM-1|ARK2|STK5|PPP1R48
AIM-1,2003-07,STK12,AURKB|Aik2|IPL1|AurB|ARK2|STK5|PPP1R48,STK12|AURKB|Aik2|IPL1|AurB|ARK2|STK5|PPP1R48
ARK2,2003-07,STK12,AURKB|Aik2|IPL1|AurB|AIM-1|STK5|PPP1R48,STK12|AURKB|Aik2|IPL1|AurB|AIM-1|STK5|PPP1R48
STK5,2003-07,STK12,AURKB|Aik2|IPL1|AurB|AIM-1|ARK2|PPP1R48,STK12|AURKB|Aik2|IPL1|AurB|AIM-1|ARK2|PPP1R48
PPP1R48,2003-07,STK12,AURKB|Aik2|IPL1|AurB|AIM-1|ARK2|STK5,STK12|AURKB|Aik2|IPL1|AurB|AIM-1|ARK2|STK5
AURKC,2003-07,STK13,AurC|ARK3,STK13|AurC|ARK3
AurC,2003-07,STK13,AURKC|ARK3,STK13|AURKC|ARK3
ARK3,2003-07,STK13,AURKC|AurC,STK13|AURKC|AurC
STK14A,,,,
AURKA,2003-07,STK15|STK6,BTAK|AurA|STK7|ARK1|PPP1R47|AIK,STK15|STK6|BTAK|AurA|STK7|ARK1|PPP1R47|AIK
BTAK,2003-07,STK15|STK6,AURKA|AurA|STK7|ARK1|PPP1R47|AIK,STK15|STK6|AURKA|AurA|STK7|ARK1|PPP1R47|AIK
AurA,2003-07,STK15|STK6,AURKA|BTAK|STK7|ARK1|PPP1R47|AIK,STK15|STK6|AURKA|BTAK|STK7|ARK1|PPP1R47|AIK
STK7,2003-07,STK15|STK6,AURKA|BTAK|AurA|ARK1|PPP1R47|AIK,STK15|STK6|AURKA|BTAK|AurA|ARK1|PPP1R47|AIK
ARK1,2003-07,STK15|STK6,AURKA|BTAK|AurA|STK7|PPP1R47|AIK,STK15|STK6|AURKA|BTAK|AurA|STK7|PPP1R47|AIK
PPP1R47,2003-07,STK15|STK6,AURKA|BTAK|AurA|STK7|ARK1|AIK,STK15|STK6|AURKA|BTAK|AurA|STK7|ARK1|AIK
AIK,2003-07,STK15|STK6,AURKA|BTAK|AurA|STK7|ARK1|PPP1R47,STK15|STK6|AURKA|BTAK|AurA|STK7|ARK1|PPP1R47
STK16,,,PKL12|MPSK,PKL12|MPSK
PKL12,,,STK16|MPSK,STK16|MPSK
MPSK,,,STK16|PKL12,STK16|PKL12
STK17A,2007-02,,DRAK1,DRAK1
DRAK1,2007-02,,STK17A,STK17A
STK17B,2007-02,,DRAK2,DRAK2
DRAK2,2007-02,,STK17B,STK17B
PLK4,2016-01,STK18,Sak,STK18|Sak
Sak,2016-01,STK18,PLK4,STK18|PLK4
STK19,,,D6S60|G11|RP1,D6S60|G11|RP1
D6S60,,,STK19|G11|RP1,STK19|G11|RP1
G11,,,STK19|D6S60|RP1,STK19|D6S60|RP1
RP1,,,STK19|D6S60|G11,STK19|D6S60|G11
NEK4,2016-01,STK2,NRK2|pp12301,STK2|NRK2|pp12301
NRK2,2016-01,STK2,NEK4|pp12301,STK2|NEK4|pp12301
pp12301,2016-01,STK2,NEK4|NRK2,STK2|NEK4|NRK2
ACLS,,,,
BTN3A3,2015-12,,BTF3|BTN3.3,BTF3|BTN3.3
BTF3,2015-12,,BTN3A3|BTN3.3,BTN3A3|BTN3.3
BTN3.3,2015-12,,BTN3A3|BTF3,BTN3A3|BTF3
TSSK1A,2016-01,STK22A|TSSK7P,TSSK1|SPOGA1|TSSK1AP,STK22A|TSSK7P|TSSK1|SPOGA1|TSSK1AP
TSSK1,2016-01,STK22A|TSSK7P,TSSK1A|SPOGA1|TSSK1AP,STK22A|TSSK7P|TSSK1A|SPOGA1|TSSK1AP
SPOGA1,2016-01,STK22A|TSSK7P,TSSK1A|TSSK1|TSSK1AP,STK22A|TSSK7P|TSSK1A|TSSK1|TSSK1AP
TSSK1AP,2016-01,STK22A|TSSK7P,TSSK1A|TSSK1|SPOGA1,STK22A|TSSK7P|TSSK1A|TSSK1|SPOGA1
TSSK2,2016-01,STK22B,SPOGA2|FLJ38613,STK22B|SPOGA2|FLJ38613
SPOGA2,2016-01,STK22B,TSSK2|FLJ38613,STK22B|TSSK2|FLJ38613
FLJ38613,2016-01,STK22B,TSSK2|SPOGA2,STK22B|TSSK2|SPOGA2
SRPK3,2010-06,STK23,MSSK1,STK23|MSSK1
MSSK1,2010-06,STK23,SRPK3,STK23|SRPK3
STK24,2010-06,,MST-3|MST3|MST3B|STK3|STE20,MST-3|MST3|MST3B|STK3|STE20
MST-3,2010-06,,STK24|MST3|MST3B|STK3|STE20,STK24|MST3|MST3B|STK3|STE20
MST3,2010-06,,STK24|MST-3|MST3B|STK3|STE20,STK24|MST-3|MST3B|STK3|STE20
MST3B,2010-06,,STK24|MST-3|MST3|STK3|STE20,STK24|MST-3|MST3|STK3|STE20
STK3,2010-06,,STK24|MST-3|MST3|MST3B|STE20,STK24|MST-3|MST3|MST3B|STE20
STE20,2010-06,,STK24|MST-3|MST3|MST3B|STK3,STK24|MST-3|MST3|MST3B|STK3
STK25,2010-06,,SOK1|YSK1,SOK1|YSK1
SOK1,2010-06,,STK25|YSK1,STK25|YSK1
YSK1,2010-06,,STK25|SOK1,STK25|SOK1
BRSK2,2003-09,C11orf7|STK29,PEN11B,C11orf7|STK29|PEN11B
PEN11B,2003-09,C11orf7|STK29,BRSK2,C11orf7|STK29|BRSK2
STK3,2010-06,,MST2|KRS1,MST2|KRS1
MST2,2010-06,,STK3|KRS1,STK3|KRS1
KRS1,2010-06,,STK3|MST2,STK3|MST2
STK31,,,TDRD8|SgK396,TDRD8|SgK396
TDRD8,,,STK31|SgK396,STK31|SgK396
SgK396,,,STK31|TDRD8,STK31|TDRD8
STK4,,,MST1|KRS2|YSK3,MST1|KRS2|YSK3
MST1,,,STK4|KRS2|YSK3,STK4|KRS2|YSK3
KRS2,,,STK4|MST1|YSK3,STK4|MST1|YSK3
YSK3,,,STK4|MST1|KRS2,STK4|MST1|KRS2
STK6,,,,
STK6P,,,,
CDKL5,2016-01,STK9,EIEE2|CFAP247,STK9|EIEE2|CFAP247
EIEE2,2016-01,STK9,CDKL5|CFAP247,STK9|CDKL5|CFAP247
CFAP247,2016-01,STK9,CDKL5|EIEE2,STK9|CDKL5|EIEE2
STM,,,,
STMY1,,,,
STMY2,,,,
STMY3,,,,
STN,,,,
STNL,,,,
STO,,,,
STOT,,,,
BTNL2,2016-01,,HSBLMHC1|BTL-II|BTN7,HSBLMHC1|BTL-II|BTN7
HSBLMHC1,2016-01,,BTNL2|BTL-II|BTN7,BTNL2|BTL-II|BTN7
BTL-II,2016-01,,BTNL2|HSBLMHC1|BTN7,BTNL2|HSBLMHC1|BTN7
BTN7,2016-01,,BTNL2|HSBLMHC1|BTL-II,BTNL2|HSBLMHC1|BTL-II
STP1,,,,
STP2,,,,
CENPX,2016-09,STRA13|MHF2,MGC14480|FAAP10|CENP-X,STRA13|MHF2|MGC14480|FAAP10|CENP-X
MGC14480,2016-09,STRA13|MHF2,CENPX|FAAP10|CENP-X,STRA13|MHF2|CENPX|FAAP10|CENP-X
FAAP10,2016-09,STRA13|MHF2,CENPX|MGC14480|CENP-X,STRA13|MHF2|CENPX|MGC14480|CENP-X
CENP-X,2016-09,STRA13|MHF2,CENPX|MGC14480|FAAP10,STRA13|MHF2|CENPX|MGC14480|FAAP10
STRL22,,,,
STRN,2015-11,,PPP2R6A|STRN1,PPP2R6A|STRN1
PPP2R6A,2015-11,,STRN|STRN1,STRN|STRN1
STRN1,2015-11,,STRN|PPP2R6A,STRN|PPP2R6A
STS,2017-01,ARSC1,ARSC,ARSC1|ARSC
ARSC,2017-01,ARSC1,STS,ARSC1|STS
STSP1,2010-04,STSP,STS-Y,STSP|STS-Y
STS-Y,2010-04,STSP,STSP1,STSP|STSP1
